Class,Precision,Recall,F1 Score,Support
0,0.2376237623762376,0.24,0.23880597014925373,100
1,0.3,0.24,0.26666666666666666,100
2,0.0,0.0,0.0,15
3,0.2558139534883721,0.22,0.23655913978494625,100
4,0.15384615384615385,0.14,0.14659685863874344,100
5,0.32653061224489793,0.48,0.38866396761133604,100
6,0.4330708661417323,0.55,0.4845814977973568,100
7,0.4064516129032258,0.63,0.49411764705882355,100
8,0.23636363636363636,0.26,0.24761904761904763,100
9,0.25,0.11,0.1527777777777778,100
10,0.125,0.07,0.08974358974358974,100
11,0.296875,0.19,0.23170731707317074,100
12,0.37362637362637363,0.34,0.35602094240837695,100
